 frequency       v(/u_vc)        v(/u_vc)        v(/u_d)         v(/u_d)        
 1.99526231e+02  4.31089489e-03 -7.65736899e-02  4.30972560e-03 -7.83369846e-02 
 2.01836636e+02  4.19968177e-03 -7.55623121e-02  4.19761112e-03 -7.73457426e-02 
 2.04173794e+02  4.09166870e-03 -7.45665632e-02  4.08867955e-03 -7.63703925e-02 
 2.06538016e+02  3.98674982e-03 -7.35860970e-02  3.98282444e-03 -7.54105916e-02 
 2.08929613e+02  3.88482349e-03 -7.26205781e-02  3.87994354e-03 -7.44660079e-02 
 2.11348904e+02  3.78579209e-03 -7.16696812e-02  3.77993863e-03 -7.35363198e-02 
 2.13796209e+02  3.68956188e-03 -7.07330907e-02  3.68271532e-03 -7.26212156e-02 
 2.16271852e+02  3.59604274e-03 -6.98105008e-02  3.58818289e-03 -7.17203929e-02 
 2.18776162e+02  3.50514808e-03 -6.89016144e-02  3.49625407e-03 -7.08335588e-02 
 2.21309471e+02  3.41679461e-03 -6.80061433e-02  3.40684493e-03 -6.99604289e-02 
 2.23872114e+02  3.33090227e-03 -6.71238077e-02  3.31987469e-03 -6.91007275e-02 
 2.26464431e+02  3.24739399e-03 -6.62543358e-02  3.23526562e-03 -6.82541868e-02 
 2.29086765e+02  3.16619563e-03 -6.53974635e-02  3.15294286e-03 -6.74205471e-02 
 2.31739465e+02  3.08723581e-03 -6.45529344e-02  3.07283430e-03 -6.65995560e-02 
 2.34422882e+02  3.01044583e-03 -6.37204990e-02  2.99487048e-03 -6.57909685e-02 
 2.37137371e+02  2.93575948e-03 -6.28999149e-02  2.91898444e-03 -6.49945467e-02 
 2.39883292e+02  2.86311302e-03 -6.20909462e-02  2.84511165e-03 -6.42100593e-02 
 2.42661010e+02  2.79244501e-03 -6.12933637e-02  2.77318987e-03 -6.34372815e-02 
 2.45470892e+02  2.72369624e-03 -6.05069440e-02  2.70315905e-03 -6.26759950e-02 
 2.48313311e+02  2.65680962e-03 -5.97314699e-02  2.63496126e-03 -6.19259872e-02 
 2.51188643e+02  2.59173010e-03 -5.89667300e-02  2.56854060e-03 -6.11870517e-02 
 2.54097271e+02  2.52840460e-03 -5.82125182e-02  2.50384308e-03 -6.04589876e-02 
 2.57039578e+02  2.46678191e-03 -5.74686339e-02  2.44081657e-03 -5.97415993e-02 
 2.60015956e+02  2.40681261e-03 -5.67348815e-02  2.37941071e-03 -5.90346966e-02 
 2.63026799e+02  2.34844901e-03 -5.60110706e-02  2.31957685e-03 -5.83380945e-02 
 2.66072506e+02  2.29164506e-03 -5.52970155e-02  2.26126795e-03 -5.76516127e-02 
 2.69153480e+02  2.23635634e-03 -5.45925349e-02  2.20443854e-03 -5.69750757e-02 
